pair_id,drug_name,disease_name,expected_label,full_status,full_predicted_label,full_confidence_score,full_correct,n_claims,n_verified_claims,n_unsupported_claims,citation_verified_rate,unsupported_claim_rate,n_pmids_used,n_unique_pmids_available,n_opentargets_evidence_items,n_graph_paths_used,has_full_report,has_pubmed_evidence,has_opentargets_evidence,has_graph_evidence,recommended_case_type,recommended_for_manual_review,notes
repodb_04246cb3a1c31ef7,Progesterone,Premature Birth,negative_or_failed,completed,positive,0.8,False,2,2,0,1.0,0.0,59,70.0,1,1,True,True,True,True,verifier_effect,True,
repodb_0557bc43eff59f45,Theophylline,Asthma,positive,completed,positive,0.55,True,5,5,0,1.0,0.0,54,67.0,10,10,True,True,True,True,verifier_effect,True,
repodb_0ee62470d8ffb2ae,Cisplatin,Esophageal neoplasm metastatic,negative_or_failed,completed,positive,0.8,False,4,1,2,0.25,0.5,60,59.0,0,0,True,True,True,True,verifier_effect,True,
repodb_130d9194853cab0c,Simeprevir,"Hepatitis C, Chronic",positive,completed,negative_or_failed,0.55,False,2,2,0,1.0,0.0,44,52.0,0,0,True,True,True,True,verifier_effect,True,
repodb_0d57eaf7fcf55450,Valproic Acid,Absence Epilepsy,positive,completed,positive,0.55,True,1,1,0,1.0,0.0,45,50.0,1,1,True,True,True,True,verifier_effect,True,
repodb_0a65b90b3ed1bdce,Paclitaxel,Carcinoma breast stage IV,positive,completed,negative_or_failed,0.3,False,0,0,0,,,0,44.0,0,0,True,True,True,True,incorrect_but_informative,True,
repodb_04ab2c145755011f,Azacitidine,Myelofibrosis due to another disorder,negative_or_failed,partial_success,,0.0,False,0,0,0,,,0,27.0,0,0,False,True,True,True,partial_success_error_analysis,True,Partial success row retained for error analysis. Full report missing or placeholder-sized.
repodb_04c33e977f1821df,Tacrolimus,recurrent adult diffuse mixed cell lymphoma,negative_or_failed,partial_success,,0.0,False,0,0,0,,,0,25.0,0,0,False,True,True,True,partial_success_error_analysis,True,Partial success row retained for error analysis. Full report missing or placeholder-sized.
repodb_0f5d00f3cf88c277,Prednisolone,Bacterial keratitis,positive,completed,negative_or_failed,0.3,False,0,0,0,,,0,21.0,0,0,True,True,True,True,incorrect_but_informative,True,
repodb_118c436e16e1ab51,Paclitaxel,Testicular Germ Cell Tumor,negative_or_failed,completed,negative_or_failed,0.3,True,1,0,0,0.0,0.0,8,16.0,0,0,True,True,True,True,verifier_effect,True,Closest correct negative case has no fully verified claims.
repodb_06eb7097e0e99337,Demeclocycline,Bronchitis,positive,completed,negative_or_failed,0.3,False,0,0,0,,,0,16.0,0,0,True,True,True,True,incorrect_but_informative,True,
repodb_019230a0310bf50c,Donepezil,Advanced cancer,negative_or_failed,completed,negative_or_failed,0.3,True,0,0,0,,,0,4.0,0,0,True,True,True,True,correct_negative_or_failed,True,Closest correct negative case has no fully verified claims.
repodb_0cb807513ccfb28d,Amikacin,Meningitis due to Klebsiella mobilis,positive,partial_success,,0.0,False,0,0,0,,,0,4.0,0,0,False,True,True,True,partial_success_error_analysis,True,Partial success row retained for error analysis. Full report missing or placeholder-sized.
repodb_0b6a9edc9d19946a,Tamoxifen,Breast cancer recurrent,negative_or_failed,completed,negative_or_failed,0.3,True,0,0,0,,,0,3.0,0,0,True,True,True,True,correct_negative_or_failed,True,Closest correct negative case has no fully verified claims.
repodb_074e03e7fac6728e,Irinotecan,signet ring adenocarcinoma of the rectum,negative_or_failed,completed,negative_or_failed,0.3,True,0,0,0,,,1,1.0,0,0,True,True,True,True,correct_negative_or_failed,True,Closest correct negative case has no fully verified claims.
repodb_093492dbf5eab05f,Norfloxacin,"Pneumonia, Bacterial",positive,completed,negative_or_failed,0.3,False,0,0,0,,,0,1.0,0,0,True,True,True,True,incorrect_but_informative,True,
repodb_11528074473e978b,Gemcitabine,stage IV grade 1 follicular lymphoma,negative_or_failed,partial_success,,0.0,False,0,0,0,,,0,1.0,0,0,False,True,True,True,partial_success_error_analysis,True,Partial success row retained for error analysis. Full report missing or placeholder-sized.
repodb_0b9f9f1795a16598,Aminophylline,Malignant neoplasm of lung,negative_or_failed,completed,positive,0.55,False,2,2,0,1.0,0.0,2,0.0,0,0,True,False,True,True,verifier_effect,True,
repodb_0f3a4d1dcb0d3feb,Radium Ra 223 Dichloride,Malignant neoplasm of prostate,positive,completed,positive,0.8,True,2,2,0,1.0,0.0,33,0.0,0,0,True,False,True,True,verifier_effect,True,
repodb_1122a9139b179012,Chlorcyclizine,Allergic Conjunctivitis,positive,completed,negative_or_failed,0.3,False,0,0,0,,,0,0.0,0,0,True,False,True,True,incorrect_but_informative,True,
